,Province/State,Country/Region,Lat,Long,Pop,Pop Density,Avg Temp Feb (in _),Avg Temp Mar (in _),Relative Humidity Feb (in %),Relative Humidity Mar (in %)
158,Zacatecas,Mexico,23.6345,-102.5528,1654600,21.9,15,18,45,35
6,La Pampa,Argentina,-38.4161,-63.6167,355422,2.478,19,16,61,60
35,Alberta,Canada,53.9333,-116.5765,4371316,6.827,-11,-7,64,64
82,Cundinamarca,Colombia,4.5709,-74.2973,2919060,129,18,17,65,70
194,_umadija and Western Serbia,Serbia,44.0165,21.0059,1924816,72.65,7,12,73,63
228,Da Nang,Vietnam,16,108,1134310,882.7,23,27,83,83
2,Adrar,Algeria,28.0339,1.6596,399714,0.9091,21,23,30,24
197,Banskobystrick_ kraj,Slovakia,48.669,19.699,647874,67.29,2,7,77,68
7,Ararat,Armenia,40.0691,45.0382,260367,124.58,0,5,65,61
30,Stara Zagora,Bulgaria,42.7339,25.4858,316356,61.42,7,12,88,88
96,San Cristobal,Dominican Republic,18.7357,-70.1627,631200,508.6,26,27,79,76
146,Pier_ga,Latvia,56.8796,24.6032,370589,36.57,2,3,86,78
129,Pest,Hungary,47.1625,19.5033,1278874,200.1,7,11,68,66
85,Cartago,Costa Rica,9.7489,-83.7534,490903,15711,19,19,58,54
150,Kaunas,Lithuania,55.1694,23.8813,562891,69.61,3,5,78,68
163,Kelaat Sraghna,Morocco,31.7917,-7.0926,756709,179.57,21,22,61,65
224,Tacuaremb—,Uruguay,-32.5228,-55.7658,92900,6.018,26,23,66,65
27,Tuzlanski,Bosnia and Herzegovina,43.9159,17.6791,440351,166.2,4,8,60,58
12,South Australia,Australia,-34.9285,138.6007,1736422,1.764,21,23,56,53
15,Western Australia,Australia,-31.9505,115.8605,2595192,1.027,32,34,51,55
1,Elbasan,Albania,41.1533,20.1683,274982,85.96,7,9,69,69
29,Brunei Muara,Brunei,4.5353,114.7277,307000,537.7,28,29,87,90
174,Vardarski,North Macedonia,41.6086,21.7453,152022,37.61,7,13,69,69
140,Ma'an,Jordan,31.24,36.51,144082,4.388,11,13,58,52
92,Faroe Islands,Denmark,61.8926,-6.9118,51783,37,4,5,80,79
155,Northern Region,Malta,35.9375,14.3754,102892,910,15,15,77,78
159,C_l_ra_i,Moldova,47.4116,28.3699,64401,85.53,8,13,68,63
202,Uva,Sri Lanka,7,81,1376000,161.9,18,20,78,64
212,Kebili,Tunisia,34,9,156961,6.99,15,16,45,49
31,Centre-Sud,Burkina Faso,12.2383,-1.5616,871927,77.07,31,35,28,42
215,Kirovohrad oblast,Ukraine,48.3794,31.1656,945549,38.46,3,7,78,60
,Maharashtra,India,,,112374333,365.2,28,29,71,73
,West Bengal,India,,,91276115,1028,26,31,69,72
,Kerala,India,,,33406061,859.8,29,31,75,71
,Rajasthan,India,,,68548437,200.3,23,27,45,46
,Karnataka,India,,,61095297,318.6,25,28,57,53
